yr,site,depth,transect,coralcov
1996,coc,6,1,24.15458937
1996,coc,6,2,32.52818035
1996,coc,6,3,8.85668277
1996,coc,6,4,29.30756844
1996,coc,6,5,59.58132045
1996,coc,5,1,74.55716586
1996,coc,5,2,71.81964573
1996,coc,5,3,90.33816425
1996,coc,5,4,82.28663446
1996,coc,5,5,31.88405797
1996,coc,3,1,81.19369369
1996,coc,3,2,73.53603604
1996,coc,3,3,58.22072072
1996,coc,3,4,79.05405405
1996,coc,3,5,51.35135135
1997,coc,6,1,73.2689211
1997,coc,6,2,26.7310789
1997,coc,6,3,35.26570048
1997,coc,6,4,50.72463768
1997,coc,6,5,32.04508857
1997,coc,5,1,65.5394525
1997,coc,5,2,55.71658615
1997,coc,5,3,90.49919485
1997,coc,5,4,25.60386473
1997,coc,5,5,21.73913043
1997,coc,3,1,60.13513514
1997,coc,3,2,61.82432432
1997,coc,3,3,75.56306306
1997,coc,3,4,50
1997,coc,3,5,53.94144144
1998,coc,6,1,55.87761675
1998,coc,6,2,22.22222222
1998,coc,6,3,30.11272142
1998,coc,6,4,38.96940419
1998,coc,6,5,20.93397746
1998,coc,5,1,39.13043478
1998,coc,5,2,75.84541063
1998,coc,5,3,56.68276973
1998,coc,5,4,38.96940419
1998,coc,5,5,42.67310789
1998,coc,3,1,83.25281804
1998,coc,3,2,82.44766506
1998,coc,3,3,98.87278583
1998,coc,3,4,71.81964573
1998,coc,3,5,57.8099839
2001,coc,6,1,38.16425121
2001,coc,6,2,19.80676329
2001,coc,6,3,27.0531401
2001,coc,6,4,48.95330113
2001,coc,6,5,24.31561997
2001,coc,5,1,50.72463768
2001,coc,5,2,66.50563607
2001,coc,5,3,37.03703704
2001,coc,5,4,71.17552335
2001,coc,5,5,25.28180354
2001,coc,3,1,39.41441441
2001,coc,3,2,45.72072072
2001,coc,3,3,55.18018018
2001,coc,3,4,47.18468468
2001,coc,3,5,33.22072072
2002,coc,6,1,31.07890499
2002,coc,6,2,33.33333333
2002,coc,6,3,22.38325282
2002,coc,6,4,57.16586151
2002,coc,6,5,45.73268921
2002,coc,5,1,37.52012882
2002,coc,5,2,72.46376812
2002,coc,5,3,87.43961353
2002,coc,5,4,81.15942029
2002,coc,5,5,47.50402576
2002,coc,3,1,78.09983897
2002,coc,3,2,79.87117552
2002,coc,3,3,72.14170692
2002,coc,3,4,75.04025765
2002,coc,3,5,57.32689211
2006,coc,6,1,25.92592593
2006,coc,6,2,17.39130435
2006,coc,6,3,56.52173913
2006,coc,6,4,50.40257649
2006,coc,6,5,33.65539452
2006,coc,5,1,56.84380032
2006,coc,5,2,47.98711755
2006,coc,5,3,69.2431562
2006,coc,5,4,46.0547504
2006,coc,5,5,69.0821256
2006,coc,3,1,25.44283414
2006,coc,3,2,92.2705314
2006,coc,3,3,18.67954911
2006,coc,3,4,97.58454106
2006,coc,3,5,63.76811594
2007,coc,4,1,44.12238325
2007,coc,4,2,62.96296296
2007,coc,4,3,42.99516908
2007,coc,4,4,73.75201288
2007,coc,4,5,42.83413849
2007,coc,4,1,53.46215781
2007,coc,4,2,26.24798712
2007,coc,4,3,42.67310789
2007,coc,4,4,89.69404187
2007,coc,4,5,81.32045089
2007,coc,4,1,57.32689211
2007,coc,4,2,35.58776167
2007,coc,4,3,57.8099839
2007,coc,4,4,54.42834138
2007,coc,4,5,60.86956522
2008,coc,4,1,36.23188406
2008,coc,4,2,38.00322061
2008,coc,4,3,39.61352657
2008,coc,4,4,21.73913043
2008,coc,4,5,38.3252818
2008,coc,4,6,33.81642512
2008,coc,4,7,44.44444444
2008,coc,4,8,48.63123994
2008,coc,4,9,45.73268921
2008,coc,4,10,64.73429952
2008,coc,3,1,67.63285024
2008,coc,3,2,53.9452496
2008,coc,3,3,27.0531401
2008,coc,3,4,48.47020934
2008,coc,3,5,47.98711755
2009,coc,6,1,32.20611916
2009,coc,6,2,10.46698873
2009,coc,6,3,45.08856683
2009,coc,6,4,31.23993559
2009,coc,6,5,9.017713366
2009,coc,4,1,6.441223833
2009,coc,4,2,16.10305958
2009,coc,4,3,0.483091787
2009,coc,4,4,0
2009,coc,4,5,0
2009,coc,2,1,5.475040258
2009,coc,2,2,26.08695652
2009,coc,2,3,10.78904992
2009,coc,2,4,2.093397746
2009,coc,2,5,1.127214171
2017,coc,3,1,6.4
2017,coc,3,2,13.5
2017,coc,3,3,0.5
2017,coc,3,4,0
2017,coc,3,5,0
2017,coc,3,6,13
2017,coc,3,7,3
2017,coc,3,8,3
2017,coc,3,9,1
2017,coc,5,1,4
2017,coc,5,2,0
2017,coc,5,3,5
2017,coc,5,4,5.5
2017,coc,5,5,2
2017,coc,5,6,1
2018,coc,3,1,0
2018,coc,3,2,0
2018,coc,3,3,0.7
2018,coc,3,4,15
2018,coc,3,5,3
2018,coc,3,6,0
2018,coc,5,1,0
2018,coc,5,2,0
2018,coc,5,3,0
2018,coc,5,4,5.5
2018,coc,5,5,2.5
2018,coc,5,6,0
