month,time,wind,temp
1981-11-01,1,9.91162963,27.08738
1981-12-01,2,12.17028571,27.10889
1982-01-01,3,22.7796,27.32009
1982-02-01,4,29.172704,27.4025
1982-03-01,5,24.02198333,27.70152
1982-04-01,6,18.71842857,27.92567
1982-05-01,7,12.64736774,28.38272
1982-06-01,8,8.72755,28.4991
1982-07-01,9,17.29985882,28.5876
1982-08-01,10,22.883775,28.64046
1982-09-01,11,16.00383448,28.89396
1982-10-01,12,15.42033684,28.66249
1982-11-01,13,20.81865882,28.58543
1982-12-01,14,25.12546667,28.24963
1983-01-01,15,24.23805,28.49604
1983-02-01,16,36.4844,28.96301
1983-03-01,17,23.46191579,29.42816
1983-04-01,18,20.33084444,29.96781
1983-05-01,19,15.98893333,30.41793
1983-06-01,20,12.66305,30.45143
1983-07-01,21,30.13204,30.02134
1983-08-01,22,21.8536,29.63355
1983-09-01,23,13.30794286,28.90415
1983-10-01,24,14.36622857,28.82405
1983-11-01,25,15.14936,28.43714
1983-12-01,26,20.5572,27.73696
1984-01-01,27,31.17533333,26.71106
1984-02-01,28,26.68732,26.30103
1984-03-01,29,29.73004706,27.38152
1984-04-01,30,23.10884444,28.33524
1984-05-01,31,21.45233333,28.70088
1984-06-01,32,15.08835294,28.4522
1984-07-01,33,15.90770526,27.92516
1984-08-01,34,13.84013846,27.70544
1984-09-01,35,10.12158261,28.11705
1984-10-01,36,9.824018182,27.95936
1984-11-01,37,14.66784,26.97933
1984-12-01,38,48.36035,26.20069
1985-01-01,39,36.74897143,24.95313
1985-02-01,40,39.96204444,24.55408
1985-03-01,41,31.6692,24.83894
1985-04-01,42,41.0218,26.24491
1985-05-01,43,16.34033846,27.80286
1985-06-01,44,13.87050526,28.16248
1985-07-01,45,14.17397333,27.6564
1985-08-01,46,7.879418182,27.24101
1985-09-01,47,7.911744,27.85162
1985-10-01,48,9.045168,27.72074
1985-11-01,49,18.48296,26.91562
1985-12-01,50,27.30156667,26.52217
1986-01-01,51,30.7754087,26.1623
1986-02-01,52,19.71538182,25.79781
1986-03-01,53,24.19385455,25.19097
1986-04-01,54,24.96496,26.59848
1986-05-01,55,19.84285714,28.46028
1986-06-01,56,14.0752,28.04186
1986-07-01,57,10.3712,28.30696
1986-08-01,58,,28.53447
1986-09-01,59,7.901866667,28.15486
1986-10-01,60,6.40792,27.84465
1986-11-01,61,14.00575,27.77367
1986-12-01,62,16.5754,27.05783
1987-01-01,63,23.72412,25.93281
1987-02-01,64,22.32501818,26.17001
1987-03-01,65,15.62882222,28.30018
1987-04-01,66,21.59784762,28.29029
1987-05-01,67,17.11503448,29.06277
1987-06-01,68,8.959848276,29.54486
1987-07-01,69,9.564257143,29.20839
1987-08-01,70,15.01491852,28.6659
1987-09-01,71,8.535304348,29.11457
1987-10-01,72,8.087066667,28.69369
1987-11-01,73,13.63689333,28.49876
1987-12-01,74,22.03194074,28.10553
1988-01-01,75,26.60706667,27.18309
1988-02-01,76,28.84846154,26.26739
1988-03-01,77,26.36963077,26.68986
1988-04-01,78,13.75881667,27.41333
1988-05-01,79,16.90876,28.50438
1988-06-01,80,6.04215,27.78334
1988-07-01,81,11.58924615,27.61562
1988-08-01,82,7.576363636,27.47313
1988-09-01,83,6.515672727,27.34315
1988-10-01,84,6.9913,27.36258
1988-11-01,85,12.33895,27.32414
1988-12-01,86,26.4659619,26.1282
1989-01-01,87,37.04,25.34392
1989-02-01,88,35.05727059,24.05107
1989-03-01,89,19.1682,24.34806
1989-04-01,90,27.46104444,26.37829
1989-05-01,91,14.86586154,28.0276
1989-06-01,92,8.104352,28.09291
1989-07-01,93,18.54389677,27.92783
1989-08-01,94,6.924422222,28.11111
1989-09-01,95,4.714181818,28.099
1989-10-01,96,9.25074,27.94557
1989-11-01,97,7.085913043,27.45943
1989-12-01,98,14.75189231,27.07465
1990-01-01,99,37.3178,26.75387
1990-02-01,100,29.80176667,27.09143
1990-03-01,101,36.23305714,27.12599
1990-04-01,102,30.57978824,28.36891
1990-05-01,103,21.90651429,29.21903
1990-06-01,104,11.8528,29.23152
1990-07-01,105,18.45826667,28.60747
1990-08-01,106,18.17096923,28.59226
1990-09-01,107,9.312914286,28.61943
1990-10-01,108,5.126071429,27.99249
1990-11-01,109,9.436380952,27.77153
1990-12-01,110,23.80848889,27.09566
1991-01-01,111,30.36354,27.20286
1991-02-01,112,36.82112727,27.21184
1991-03-01,113,23.08826667,27.81502
1991-04-01,114,18.82866667,28.77343
1991-05-01,115,15.39805714,28.83217
1991-06-01,116,9.961810526,28.97276
1991-07-01,117,18.37184,28.61032
1991-08-01,118,,28.53087
1991-09-01,119,,28.38414
1991-10-01,120,7.004917647,27.91087
1991-11-01,121,14.03816,27.76429
1991-12-01,122,29.23845,27.57396
1992-01-01,123,29.3542,27.50497
1992-02-01,124,28.32016667,28.07108
1992-03-01,125,34.6500381,28.1424
1992-04-01,126,36.75378182,28.91491
1992-05-01,127,13.94291429,29.02521
1992-06-01,128,6.100025,29.57172
1992-07-01,129,10.04106087,28.67489
1992-08-01,130,18.7052,28.49332
1992-09-01,131,11.35893333,28.32286
1992-10-01,132,9.253826667,28.1053
1992-11-01,133,10.645296,28.09481
1992-12-01,134,22.90093793,26.86221
1993-01-01,135,22.4092,27.01267
1993-02-01,136,29.86521481,27.15158
1993-03-01,137,34.72012632,27.09341
1993-04-01,138,,28.71995
1993-05-01,139,,29.59691
1993-06-01,140,,29.25458
1993-07-01,141,,28.76345
1993-08-01,142,,28.37944
1993-09-01,143,,28.20348
1993-10-01,144,14.816,28.57295
1993-11-01,145,8.642666667,27.66848
1993-12-01,146,28.8912,27.45432
1994-01-01,147,36.03992,26.91452
1994-02-01,148,30.41395556,26.39505
1994-03-01,149,31.00556667,26.56603
1994-04-01,150,38.44534118,27.37224
1994-05-01,151,,28.46613
1994-06-01,152,16.702725,28.25505
1994-07-01,153,24.2612,28.19175
1994-08-01,154,12.15295172,28.17788
1994-09-01,155,10.711968,28.40943
1994-10-01,156,7.264619355,28.12889
1994-11-01,157,11.771312,27.52872
1994-12-01,158,24.71494,27.59511
1995-01-01,159,31.49085926,26.95876
1995-02-01,160,33.56146087,26.70858
1995-03-01,161,23.98957333,27.69728
1995-04-01,162,15.67585714,28.46962
1995-05-01,163,5.606509091,29.04502
1995-06-01,164,8.064618182,28.9431
1995-07-01,165,8.290423529,28.3942
1995-08-01,166,6.12086,28.25751
1995-09-01,167,8.095885714,28.24786
1995-10-01,168,6.7598,27.93382
1995-11-01,169,12.82711304,27.59548
1995-12-01,170,17.342128,27.54691
1996-01-01,171,21.09596364,26.70553
1996-02-01,172,23.73029333,26.27527
1996-03-01,173,20.5572,27.27617
1996-04-01,174,17.2236,27.89119
1996-05-01,175,13.59368,27.76852
1996-06-01,176,8.905033333,27.929
1996-07-01,177,11.097184,27.41889
1996-08-01,178,10.20452,27.59788
1996-09-01,179,4.310689655,28.16124
1996-10-01,180,6.099253333,27.32982
1996-11-01,181,9.858813333,27.04357
1996-12-01,182,19.82962857,26.3612
1997-01-01,183,18.1496,26.5459
1997-02-01,184,31.86245217,26.50005
1997-03-01,185,27.94050667,26.98977
1997-04-01,186,19.61748148,28.5951
1997-05-01,187,22.73021333,29.16899
1997-06-01,188,7.267503448,29.34867
1997-07-01,189,21.71021935,29.29811
1997-08-01,190,22.8138963,29.62383
1997-09-01,191,6.199790476,29.51872
1997-10-01,192,10.42818462,29.39037
1997-11-01,193,6.489408,28.72877
1997-12-01,194,14.48969524,28.66018
1998-01-01,195,20.56405926,28.59028
1998-02-01,196,14.19866667,28.91419
1998-03-01,197,20.86807143,28.76207
1998-04-01,198,18.54057778,29.37234
1998-05-01,199,16.23349231,29.61078
1998-06-01,200,14.03688276,30.03552
1998-07-01,201,14.0289,29.21793
1998-08-01,202,11.92825185,29.0647
1998-09-01,203,8.368296296,29.06029
1998-10-01,204,4.420903226,28.26585
1998-11-01,205,7.860711111,27.40471
1998-12-01,206,13.9826,26.58926
1999-01-01,207,21.09143077,26.69847
1999-02-01,208,22.60245217,26.1198
1999-03-01,209,24.36587826,26.67171
1999-04-01,210,19.93545714,26.6601
1999-05-01,211,8.937614815,28.15626
1999-06-01,212,6.033246154,28.2051
1999-07-01,213,10.07203077,27.89433
1999-08-01,214,6.867216,28.30406
1999-09-01,215,8.474752,27.77867
1999-10-01,216,8.722322581,26.93437
1999-11-01,217,10.47092308,26.79281
1999-12-01,218,16.55304828,25.95521
2000-01-01,219,23.30595789,25.51558
2000-02-01,220,28.6134,25.60192
2000-03-01,221,21.39772308,26.10254
2000-04-01,222,24.2435619,27.31091
2000-05-01,223,12.5936,28.93336
2000-06-01,224,14.82371667,28.86867
2000-07-01,225,17.85195714,28.60682
2000-08-01,226,13.94556,28.36544
2000-09-01,227,9.4452,28.205
2000-10-01,228,12.40201379,28.18903
2000-11-01,229,13.15605926,27.9199
2000-12-01,230,21.02637333,27.38608
2001-01-01,231,27.30206452,26.77595
2001-02-01,232,38.44884286,25.45572
2001-03-01,233,20.7424,26.55378
2001-04-01,234,30.97161333,27.41776
2001-05-01,235,14.86401481,28.48885
2001-06-01,236,19.65589333,28.60877
2001-07-01,237,14.82922857,28.14783
2001-08-01,238,14.28429677,28.61774
2001-09-01,239,10.35885333,28.29995
2001-10-01,240,10.44886452,27.81876
2001-11-01,241,11.6676,27.016
2001-12-01,242,15.19237419,26.78064
2002-01-01,243,22.48089032,26.83848
2002-02-01,244,27.9189,26.71821
2002-03-01,245,27.75610323,27.28958
2002-04-01,246,26.24731034,28.01333
2002-05-01,247,20.79019355,28.34636
2002-06-01,248,13.11088276,28.53399
2002-07-01,249,14.71443871,28.40622
2002-08-01,250,14.86379355,28.48783
2002-09-01,251,9.888357143,28.49981
2002-10-01,252,9.295845161,28.54825
2002-11-01,253,13.53194667,28.08867
2002-12-01,254,18.21531613,27.92216
2003-01-01,255,23.22766452,27.82912
2003-02-01,256,21.97265714,27.76102
2003-03-01,257,18.00024516,28.39497
2003-04-01,258,17.18038667,28.88581
2003-05-01,259,12.10371613,29.35867
2003-06-01,260,8.50068,29.44515
2003-07-01,261,11.72734194,28.55087
2003-08-01,262,10.78341935,28.7659
2003-09-01,263,7.197255172,28.70324
2003-10-01,264,7.652941935,27.86198
2003-11-01,265,8.81552,27.8571
2003-12-01,266,14.27832258,27.55922
2004-01-01,267,19.50347586,27.55221
2004-02-01,268,21.84721379,27.16261
2004-03-01,269,29.80525161,26.72922
2004-04-01,270,19.37809333,27.79238
2004-05-01,271,15.03107097,27.85553
2004-06-01,272,12.40201379,28.52357
2004-07-01,273,10.10662857,28.18383
2004-08-01,274,10.10236129,28.84876
2004-09-01,275,7.75988,28.591
2004-10-01,276,7.891909677,28.32189
2004-11-01,277,12.29110667,27.75872
2004-12-01,278,18.13167742,27.28387
2005-01-01,279,22.16425806,26.91701
2005-02-01,280,24.25458571,26.60618
2005-03-01,281,14.40378065,28.18193
2005-04-01,282,17.82858667,28.72181
2005-05-01,283,12.13956129,29.00981
2005-06-01,284,7.235146667,29.582
2005-07-01,285,9.355587097,29.11548
2005-08-01,286,9.504941935,28.92742
2005-09-01,287,10.44528,28.60515
2005-10-01,288,8.907522581,27.60512
2005-11-01,289,8.420426667,27.30957
2005-12-01,290,13.34037419,27.15548
2006-01-01,291,18.21750667,26.71936
2006-02-01,292,26.9466,26.17822
2006-03-01,293,23.87885161,26.48931
2006-04-01,294,17.32237333,27.93329
2006-05-01,295,11.79106667,28.82429
2006-06-01,296,9.636573333,28.39486
2006-07-01,297,10.32938065,28.66
2006-08-01,298,10.19794839,28.9335
2006-09-01,299,9.581013333,29.16176
2006-10-01,300,8.865703226,28.81235
2006-11-01,301,8.969853333,28.29276
2006-12-01,302,14.78015484,27.66599
2007-01-01,303,28.28780645,27.4765
2007-02-01,304,21.21862857,27.32071
2007-03-01,305,23.76534194,27.52465
2007-04-01,306,14.56906667,28.6751
2007-05-01,307,8.794012903,28.52498
2007-06-01,308,9.821773333,28.40043
2007-07-01,309,9.451174194,28.17373
2007-08-01,310,7.29688,28.82456
2007-09-01,311,8.080893333,28.1171
2007-10-01,312,8.226464516,27.98212
2007-11-01,313,13.18006667,27.46729
2007-12-01,314,15.39549677,26.60548
2008-01-01,315,22.02685161,26.4659
2008-02-01,316,20.6498,27.18867
2008-03-01,317,20.54525161,27.49797
2008-04-01,318,16.42106667,28.411
2008-05-01,319,12.39645161,29.08364
2008-06-01,320,9.951413333,28.68015
2008-07-01,321,9.17636129,28.70134
2008-08-01,322,9.253826667,29.11281
2008-09-01,323,7.475906667,28.74314
2008-10-01,324,8.907522581,27.62069
2008-11-01,325,9.642746667,27.28176
2008-12-01,326,17.14593548,26.5147
2009-01-01,327,17.64,26.20373
2009-02-01,328,24.84,25.43505
2009-03-01,329,21.24,25.66815
2009-04-01,330,18,27.51376
2009-05-01,331,11.52,28.48576
2009-06-01,332,7.56,29.20828
2009-07-01,333,11.52,28.91853
2009-08-01,334,10.8,28.87825
2009-09-01,335,8.28,28.962
2009-10-01,336,7.56,28.73171
2009-11-01,337,9.36,28.08748
2009-12-01,338,13.68,28.28884
2010-01-01,339,18,28.04341
2010-02-01,340,16.2,28.39669
2010-03-01,341,16.2,28.59567
2010-04-01,342,12.24,29.38438
2010-05-01,343,11.88,29.3958
2010-06-01,344,7.2,28.52762
2010-07-01,345,5.76,28.63926
2010-08-01,346,6.48,28.4088
2010-09-01,347,6.84,28.43933
2010-10-01,348,6.48,28.19608
2010-11-01,349,7.2,27.09738
2010-12-01,350,11.52,26.20885
2011-01-01,351,16.56,25.91313
2011-02-01,352,19.8,26.23031
2011-03-01,353,19.08,26.63516
2011-04-01,354,12.96,28.23076
2011-05-01,355,11.16,28.96604
2011-06-01,356,7.2,28.84171
2011-07-01,357,7.92,28.64014
2011-08-01,358,5.76,29.00368
2011-09-01,359,6.12,29.18786
2011-10-01,360,6.84,27.9883
2011-11-01,361,9,27.3159
2011-12-01,362,14.4,26.99157
2012-01-01,363,20.88,26.53359
2012-02-01,364,22.32,25.58552
2012-03-01,365,25.92,25.7159
2012-04-01,366,10.8,28.15629
2012-05-01,367,7.92,29.74249
2012-06-01,368,7.56,29.74015
2012-07-01,369,13.32,29.08539
2012-08-01,370,7.92,29.02825
2012-09-01,371,8.28,29.34214
2012-10-01,372,7.2,29.0429
2012-11-01,373,11.16,27.719
2012-12-01,374,14.76,27.38631
2013-01-01,375,24.12,27.19327
2013-02-01,376,20.16,26.97515
2013-03-01,377,21.6,26.18387
2013-04-01,378,14.4,27.98362
2013-05-01,379,11.52,28.27304
2013-06-01,380,8.28,27.833
2013-07-01,381,9.36,27.90406
2013-08-01,382,7.92,27.89981
2013-09-01,383,5.76,28.38129
2013-10-01,384,6.12,28.46129
2013-11-01,385,8.28,28.02595
2013-12-01,386,14.4,27.51641
2014-01-01,387,18.36,27.01355
2014-02-01,388,20.88,27.11781
2014-03-01,389,19.44,27.08765
2014-04-01,390,17.64,27.74914
2014-05-01,391,10.8,29.32175
2014-06-01,392,10.8,28.95138
2014-07-01,393,19.08,28.88793
2014-08-01,394,10.8,29.06746
2014-09-01,395,6.48,29.1489
2014-10-01,396,6.84,28.5147
2014-11-01,397,9.36,28.01138
2014-12-01,398,14.04,27.6188
2015-01-01,399,24.48,27.56331
2015-02-01,400,19.08,26.78214
2015-03-01,401,23.76,26.66765
2015-04-01,402,19.08,27.74924
2015-05-01,403,16.92,29.20152
2015-06-01,404,16.2,29.40986
2015-07-01,405,18,29.54323
2015-08-01,406,16.2,29.17663
2015-09-01,407,8.64,29.60648
2015-10-01,408,7.2,29.77351
2015-11-01,409,7.56,29.25352
2015-12-01,410,15.48,29.40364
2016-01-01,411,15.48,29.09995
2016-02-01,412,24.48,27.51857
2016-03-01,413,15.48,28.12374
2016-04-01,414,16.2,29.07081
2016-05-01,415,10.44,29.44599
2016-06-01,416,7.92,29.52672
2016-07-01,417,10.08,28.75032
2016-08-01,418,8.64,28.47963
2016-09-01,419,6.84,28.96719
2016-10-01,420,6.48,28.56424
2016-11-01,421,6.84,27.8531
2016-12-01,422,13.32,26.88534
2017-01-01,423,18.36,26.35627
2017-02-01,424,19.08,26.65821
2017-03-01,425,25.2,27.17751
2017-04-01,426,15.48,28.55324
2017-05-01,427,7.2,29.15387
2017-06-01,428,6.84,29.16343
2017-07-01,429,9,28.54733
2017-08-01,430,7.56,28.91811
2017-09-01,431,6.84,30.16648
2017-10-01,432,7.56,28.49434
2017-11-01,433,7.56,28.05891
2017-12-01,434,17.64,26.72972
2018-01-01,435,19.8,26.49843
2018-02-01,436,29.52,26.39893
2018-03-01,437,23.4,25.9883
2018-04-01,438,14.76,27.87472
2018-05-01,439,9.72,28.92991
2018-06-01,440,8.64,29.26629
2018-07-01,441,13.68,29.10631
2018-08-01,442,11.16,28.88392
2018-09-01,443,7.2,29.42371
2018-10-01,444,8.64,28.17475
2018-11-01,445,10.44,28.14553
2018-12-01,446,18.72,27.96078
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
