yr,site,depth,transect,coralcov
2006,gol,10,1,12.07729469
2006,gol,10,2,24.15458937
2006,gol,10,3,40.25764895
2006,gol,10,4,41.38486312
2006,gol,10,5,56.19967794
2006,gol,8,1,37.35909823
2006,gol,8,2,36.39291465
2006,gol,8,3,34.29951691
2006,gol,8,4,36.87600644
2006,gol,8,5,37.35909823
2007,gol,6,1,73.59098229
2007,gol,6,2,62.96296296
2007,gol,6,3,59.25925926
2007,gol,6,4,51.04669887
2007,gol,6,5,59.42028986
2007,gol,3,1,85.82930757
2007,gol,3,2,74.87922705
2007,gol,3,3,87.11755233
2007,gol,3,4,80.8373591
2007,gol,3,5,82.28663446
2007,gol,3,1,88.24476651
2007,gol,3,2,82.44766506
2007,gol,3,3,82.28663446
2007,gol,3,4,88.5668277
2007,gol,3,5,64.73429952
2008,gol,8,1,33.81642512
2008,gol,8,2,34.6215781
2008,gol,8,3,48.30917874
2008,gol,8,4,38.80837359
2008,gol,8,5,21.73913043
2008,gol,8,6,21.73913043
2008,gol,8,7,36.55394525
2008,gol,8,8,43.47826087
2008,gol,8,9,43.96135266
2008,gol,8,10,46.69887279
2008,gol,8,11,74.87922705
2008,gol,8,12,30.11272142
2008,gol,8,13,90.01610306
2008,gol,8,14,44.44444444
2008,gol,8,15,53.62318841
2008,gol,8,16,69.72624799
2008,gol,8,17,45.08856683
2008,gol,8,18,54.58937198
2008,gol,8,19,76.9726248
2008,gol,8,20,62.64090177
2009,gol,8.5-10,1,0
2009,gol,8.5-10,2,0
2009,gol,8.5-10,3,2.415458937
2009,gol,8.5-10,4,0
2009,gol,8.5-10,5,2.254428341
2009,gol,8.5-10,6,24.79871176
2009,gol,8.5-10,7,17.23027375
2009,gol,8.5-10,8,1.610305958
2009,gol,8.5-10,9,33.17230274
2009,gol,8.5-10,10,10.14492754
2009,gol,8.5-10,11,18.67954911
2009,gol,8.5-10,12,17.71336554
2009,gol,8.5-10,13,37.52012882
2009,gol,8.5-10,14,21.09500805
2009,gol,8.5-10,15,37.03703704
2009,gol,8.5-10,16,26.08695652
2009,gol,8.5-10,17,8.534621578
2009,gol,8.5-10,18,0
2009,gol,8.5-10,19,0
2009,gol,8.5-10,20,0
2009,gol,8.5-10,21,9.500805153
2009,gol,8.5-10,22,29.95169082
2009,gol,8.5-10,23,13.04347826
2009,gol,8.5-10,24,16.58615137
2009,gol,8.5-10,25,14.65378422
2017,gol,3,1,0.5
2017,gol,3,2,4.2
2017,gol,3,3,0
2017,gol,3,4,0.5
2017,gol,3,5,0
2017,gol,3,6,0
2017,gol,3,7,0.5
2017,gol,3,8,1
2017,gol,3,9,1
2017,gol,5,1,1.5
2017,gol,5,2,5
2017,gol,5,3,0
2017,gol,5,4,26.2
2017,gol,5,5,13
2017,gol,5,6,1
2018,gol,3,1,3.1
2018,gol,3,2,0
2018,gol,3,3,0
2018,gol,3,4,7.5
2018,gol,3,5,3
2018,gol,3,6,2
2018,gol,5,1,0
2018,gol,5,2,10.1
2018,gol,5,3,0.5
2018,gol,5,4,0.5
2018,gol,5,5,0
2018,gol,5,6,0
