yr,site,depth,transect,coralcov
2006,lara,10,1,67.14975845
2006,lara,10,2,53.784219
2006,lara,10,3,52.01288245
2006,lara,10,4,58.61513688
2006,lara,10,5,56.68276973
2006,lara,7,1,36.07085346
2006,lara,7,2,81.96457327
2006,lara,7,3,77.61674718
2006,lara,7,4,76.32850242
2006,lara,7,5,73.1078905
2006,lara,4,1,93.71980676
2006,lara,4,2,66.18357488
2006,lara,4,3,59.09822866
2006,lara,4,4,82.76972625
2006,lara,4,5,82.44766506
2009,lara,8,1,20.12882448
2009,lara,8,2,21.25603865
2009,lara,8,3,9.98389694
2009,lara,8,4,7.246376812
2009,lara,8,5,4.830917874
2009,lara,8,6,20.45088567
2009,lara,8,7,0.805152979
2009,lara,8,8,0
2009,lara,8,9,0.483091787
2009,lara,8,10,0
2009,lara,4,1,2.576489533
2009,lara,4,2,8.212560386
2009,lara,4,3,1.610305958
2009,lara,4,4,4.347826087
2009,lara,4,5,1.610305958
2009,lara,4,6,1.127214171
2009,lara,4,7,0
2009,lara,4,8,0
2009,lara,4,9,0.483091787
2009,lara,4,10,0.322061192
2009,lara,4,11,0
2009,lara,4,12,0
2009,lara,4,13,3.05958132
2009,lara,4,14,0
2009,lara,4,15,0
2017,lara,3,1,3.1
2017,lara,3,2,12.5
2017,lara,3,3,1.5
2017,lara,3,4,1.6
2017,lara,3,5,11.4
2017,lara,3,6,1.8
2017,lara,3,7,4.5
2017,lara,3,8,3
2017,lara,3,9,0
2017,lara,5,1,14
2017,lara,5,2,6.5
2017,lara,5,3,5.5
2017,lara,5,4,8.5
2017,lara,5,5,2
2017,lara,5,6,4
2018,lara,3,1,3.1
2018,lara,3,2,0
2018,lara,3,3,0
2018,lara,3,4,7.5
2018,lara,3,5,3
2018,lara,3,6,2
2018,lara,5,1,5.5
2018,lara,5,2,0
2018,lara,5,3,10.1
2018,lara,5,4,0.5
2018,lara,5,5,0
2018,lara,5,6,0
