yr,site,depth,transect,coralcov
1994,sp,11.6-9.2,1,95.65217391
1994,sp,11.6-9.2,2,85.50724638
1994,sp,11.6-9.2,3,64.73429952
1994,sp,11.6-9.2,4,86.95652174
1994,sp,11.6-9.2,5,98.38969404
1994,sp,10.9-7.1,1,84.05797101
1994,sp,10.9-7.1,2,97.58454106
1994,sp,10.9-7.1,3,97.58454106
1994,sp,10.9-7.1,4,96.61835749
1994,sp,10.9-7.1,5,84.86312399
1994,sp,7-5.5,1,82.76972625
1994,sp,7-5.5,2,80.8373591
1994,sp,7-5.5,3,93.71980676
1994,sp,7-5.5,4,82.12560386
1994,sp,7-5.5,5,98.38969404
1994,sp,5-4.7,1,82.44766506
1994,sp,5-4.7,2,82.44766506
1994,sp,5-4.7,3,95.65217391
1994,sp,5-4.7,4,94.20289855
1994,sp,5-4.7,5,99.35587762
1995,sp,11.6-9.2,1,89.30421076
1995,sp,11.6-9.2,2,78.36072957
1995,sp,11.6-9.2,3,78.69849133
1995,sp,11.6-9.2,4,92.77189822
1995,sp,11.6-9.2,5,98.28867372
1995,sp,10.9-7.1,1,85.48799232
1995,sp,10.9-7.1,2,65.04171167
1995,sp,10.9-7.1,3,87.41992435
1995,sp,10.9-7.1,4,82.91208295
1995,sp,10.9-7.1,5,99.97748255
1995,sp,7-5.5,1,98.52853353
1995,sp,7-5.5,2,91.28378841
1995,sp,7-5.5,3,89.67384506
1995,sp,7-5.5,4,92.89373177
1995,sp,7-5.5,5,97.24057884
1995,sp,5-4.7,1,85.97097533
1995,sp,5-4.7,2,95.30864681
1995,sp,5-4.7,3,95.30864681
1995,sp,5-4.7,4,95.30864681
1995,sp,5-4.7,5,92.89373177
1996,sp,11.6-9.2,1,97.97297297
1996,sp,11.6-9.2,2,90.65315315
1996,sp,11.6-9.2,3,82.9954955
1996,sp,11.6-9.2,4,78.37837838
1996,sp,11.6-9.2,5,89.75225225
1996,sp,10.9-7.1,1,81.96457327
1996,sp,10.9-7.1,2,97.26247987
1996,sp,10.9-7.1,3,97.90660225
1996,sp,10.9-7.1,4,100
1996,sp,10.9-7.1,5,92.431562
1996,sp,7-5.5,1,95.81320451
1996,sp,7-5.5,2,96.94041868
1996,sp,7-5.5,3,82.76972625
1996,sp,7-5.5,4,96.77938808
1996,sp,7-5.5,5,86.15136876
1996,sp,5-4.7,1,95.16908213
1996,sp,5-4.7,2,89.04991948
1996,sp,5-4.7,3,95.65217391
1996,sp,5-4.7,4,93.88083736
1996,sp,5-4.7,5,96.2962963
1996,coc,6,1,24.15458937
1996,coc,6,2,32.52818035
1996,coc,6,3,8.85668277
1996,coc,6,4,29.30756844
1996,coc,6,5,59.58132045
1996,coc,5,1,74.55716586
1996,coc,5,2,71.81964573
1996,coc,5,3,90.33816425
1996,coc,5,4,82.28663446
1996,coc,5,5,31.88405797
1996,coc,3,1,81.19369369
1996,coc,3,2,73.53603604
1996,coc,3,3,58.22072072
1996,coc,3,4,79.05405405
1996,coc,3,5,51.35135135
1997,sp,11.6-9.2,1,75.78828829
1997,sp,11.6-9.2,2,63.62612613
1997,sp,11.6-9.2,3,72.40990991
1997,sp,11.6-9.2,4,74.21171171
1997,sp,11.6-9.2,5,73.64864865
1997,sp,10.9-7.1,1,95.65217391
1997,sp,10.9-7.1,2,89.53301127
1997,sp,10.9-7.1,3,88.72785829
1997,sp,10.9-7.1,4,95.49114332
1997,sp,10.9-7.1,5,99.03381643
1997,sp,7-5.5,1,97.42351047
1997,sp,7-5.5,2,93.39774557
1997,sp,7-5.5,3,94.36392915
1997,sp,7-5.5,4,99.19484702
1997,sp,7-5.5,5,96.45732689
1997,sp,5-4.7,1,97.10144928
1997,sp,5-4.7,2,86.79549114
1997,sp,5-4.7,3,98.71175523
1997,sp,5-4.7,4,89.85507246
1997,sp,5-4.7,5,100
1997,coc,6,1,73.2689211
1997,coc,6,2,26.7310789
1997,coc,6,3,35.26570048
1997,coc,6,4,50.72463768
1997,coc,6,5,32.04508857
1997,coc,5,1,65.5394525
1997,coc,5,2,55.71658615
1997,coc,5,3,90.49919485
1997,coc,5,4,25.60386473
1997,coc,5,5,21.73913043
1997,coc,3,1,60.13513514
1997,coc,3,2,61.82432432
1997,coc,3,3,75.56306306
1997,coc,3,4,50
1997,coc,3,5,53.94144144
1998,sp,11.6-9.2,1,90.31531532
1998,sp,11.6-9.2,2,86.26126126
1998,sp,11.6-9.2,3,76.91441441
1998,sp,11.6-9.2,4,81.30630631
1998,sp,11.6-9.2,5,69.81981982
1998,sp,10.9-7.1,1,94.04186795
1998,sp,10.9-7.1,2,86.15136876
1998,sp,10.9-7.1,3,94.20289855
1998,sp,10.9-7.1,4,95.00805153
1998,sp,10.9-7.1,5,93.23671498
1998,sp,7-5.5,1,86.95652174
1998,sp,7-5.5,2,87.92270531
1998,sp,7-5.5,3,88.72785829
1998,sp,7-5.5,4,82.28663446
1998,sp,7-5.5,5,79.22705314
1998,sp,5-4.7,1,91.30434783
1998,sp,5-4.7,2,94.84702093
1998,sp,5-4.7,3,79.54911433
1998,sp,5-4.7,4,94.52495974
1998,sp,5-4.7,5,99.35587762
1998,coc,6,1,55.87761675
1998,coc,6,2,22.22222222
1998,coc,6,3,30.11272142
1998,coc,6,4,38.96940419
1998,coc,6,5,20.93397746
1998,coc,5,1,39.13043478
1998,coc,5,2,75.84541063
1998,coc,5,3,56.68276973
1998,coc,5,4,38.96940419
1998,coc,5,5,42.67310789
1998,coc,3,1,83.25281804
1998,coc,3,2,82.44766506
1998,coc,3,3,98.87278583
1998,coc,3,4,71.81964573
1998,coc,3,5,57.8099839
2001,sp,11.6-9.2,1,88.4009009
2001,sp,11.6-9.2,2,76.57657658
2001,sp,11.6-9.2,3,83.55855856
2001,sp,11.6-9.2,4,92.45495495
2001,sp,11.6-9.2,5,95.60810811
2001,sp,10.9-7.1,1,93.88083736
2001,sp,10.9-7.1,2,96.77938808
2001,sp,10.9-7.1,3,94.84702093
2001,sp,10.9-7.1,4,90.82125604
2001,sp,10.9-7.1,5,94.20289855
2001,sp,7-5.5,1,93.23671498
2001,sp,7-5.5,2,91.14331723
2001,sp,7-5.5,3,95.16908213
2001,sp,7-5.5,4,90.17713366
2001,sp,7-5.5,5,87.76167472
2001,sp,5-4.7,1,86.31239936
2001,sp,5-4.7,2,79.71014493
2001,sp,5-4.7,3,95.33011272
2001,sp,5-4.7,4,95.65217391
2001,sp,5-4.7,5,99.19484702
2001,coc,6,1,38.16425121
2001,coc,6,2,19.80676329
2001,coc,6,3,27.0531401
2001,coc,6,4,48.95330113
2001,coc,6,5,24.31561997
2001,coc,5,1,50.72463768
2001,coc,5,2,66.50563607
2001,coc,5,3,37.03703704
2001,coc,5,4,71.17552335
2001,coc,5,5,25.28180354
2001,coc,3,1,39.41441441
2001,coc,3,2,45.72072072
2001,coc,3,3,55.18018018
2001,coc,3,4,47.18468468
2001,coc,3,5,33.22072072
2002,sp,11.6-9.2,1,100
2002,sp,11.6-9.2,2,100
2002,sp,11.6-9.2,3,100
2002,sp,11.6-9.2,4,100
2002,sp,11.6-9.2,5,100
2002,sp,10.9-7.1,1,90.33816425
2002,sp,10.9-7.1,2,96.50866998
2002,sp,10.9-7.1,3,82.93075684
2002,sp,10.9-7.1,4,74.39613527
2002,sp,10.9-7.1,5,73.1078905
2002,sp,7-5.5,1,87.92270531
2002,sp,7-5.5,2,85.48779824
2002,sp,7-5.5,3,86.79549114
2002,sp,7-5.5,4,82.64525815
2002,sp,7-5.5,5,75.54746513
2002,sp,5-4.7,1,90.38483979
2002,sp,5-4.7,2,88.72785829
2002,sp,5-4.7,3,87.27858293
2002,sp,5-4.7,4,75.52334944
2002,sp,5-4.7,5,73.42995169
2002,coc,6,1,31.07890499
2002,coc,6,2,33.33333333
2002,coc,6,3,22.38325282
2002,coc,6,4,57.16586151
2002,coc,6,5,45.73268921
2002,coc,5,1,37.52012882
2002,coc,5,2,72.46376812
2002,coc,5,3,87.43961353
2002,coc,5,4,81.15942029
2002,coc,5,5,47.50402576
2002,coc,3,1,78.09983897
2002,coc,3,2,79.87117552
2002,coc,3,3,72.14170692
2002,coc,3,4,75.04025765
2002,coc,3,5,57.32689211
2006,sp,12,1,11.91626409
2006,sp,12,2,6.602254428
2006,sp,12,3,6.441223833
2006,sp,12,4,21.73913043
2006,sp,12,5,30.43478261
2006,sp,10,1,95.81320451
2006,sp,10,2,95.49114332
2006,sp,10,3,95.9742351
2006,sp,10,4,98.87278583
2006,sp,10,5,96.94041868
2006,sp,7,1,91.62640902
2006,sp,7,2,96.45732689
